date,Handicapper,player_name,Leauge,stat_projection,stat_type,Over/Under,confidence_score,actual_statistic,Hit,,,,,,,,,,,,,,,,,,,,
2025-01-15,DanGambleAIEdge,Bam Adebayo,NBA,8,Rebounds,Over ,9.46,10,1,,,,,,,,,,,,,,,,,,,,
2025-01-15,DanGambleAIEdge,Amen Thompson,NBA,3,Assists,Over ,8.78,9,1,,,,,,,,,,,,,,,,,,,,
2025-01-15,DanGambleAIEdge,Zach LaVine,NBA,25,Points,Over ,8.66,15,0,,,,,,,,,,,,,,,,,,,,
2025-01-15,DanGambleAIEdge,Jaren Jackson Jr,NBA,20,Points,Over ,8.54,22,1,,,,,,,,,,,,,,,,,,,,
2025-01-15,DanGambleAIEdge,Keldon Johnson,NBA,10,Points,Over ,8.41,7,0,,,,,,,,,,,,,,,,,,,,
2025-01-15,DanGambleAIEdge,Jalen Green,NBA,20,Points,Over ,8.36,34,1,,,,,,,,,,,,,,,,,,,,
2025-01-15,DanGambleAIEdge,Dyson Daniels,NBA,4,Rebounds,Over ,8.21,8,1,,,,,,,,,,,,,,,,,,,,
2025-01-15,DanGambleAIEdge,Dillon Brooks,NBA,10,Points,Over ,8.17,6,0,,,,,,,,,,,,,,,,,,,,
2025-01-15,DanGambleAIEdge,LaMelo Ball,NBA,7,Assists,Over ,7.77,9,1,,,,,,,,,,,,,,,,,,,,
2025-01-15,DanGambleAIEdge,Klay Thompson,NBA,3,Rebounds,Over ,7.43,1,0,,,,,,,,,,,,,,,,,,,,
2025-01-17,DanGambleAIEdge,Nicolas Claxton,NBA,5,Rebounds,Over ,9.62,8,1,,,,,,,,,,,,,,,,,,,,
2025-01-17,DanGambleAIEdge,LaMelo Ball,NBA,7,Assists,Over ,8.89,9,1,,,,,,,,,,,,,,,,,,,,
2025-01-17,DanGambleAIEdge,Dejounte Murray,NBA,6,Assists,Over ,8.71,6,0,,,,,,,,,,,,,,,,,,,,
2025-01-17,DanGambleAIEdge,Nikola Jokic,NBA,12,Rebounds,Over ,8.51,12,0,,,,,,,,,,,,,,,,,,,,
2025-01-17,DanGambleAIEdge,Miles Bridges,NBA,7,Rebounds,Over ,8.47,4,0,,,,,,,,,,,,,,,,,,,,
2025-01-17,DanGambleAIEdge,LeBron James,NBA,20,Points,Over ,8.41,29,1,,,,,,,,,,,,,,,,,,,,
2025-01-17,DanGambleAIEdge,Tyler Herro,NBA,20,Points,Over ,8.27,22,1,,,,,,,,,,,,,,,,,,,,
2025-01-17,DanGambleAIEdge,Trey Murphy III,NBA,15,Points,Over ,8.11,19,1,,,,,,,,,,,,,,,,,,,,
2025-01-17,DanGambleAIEdge,Devin Vassell,NBA,4,Rebounds,Over ,7.83,2,0,,,,,,,,,,,,,,,,,,,,
2025-01-20,DanGambleAIEdge,Dejounte Murray,NBA,6,Assists,Over ,9.33,11,1,,,,,,,,,,,,,,,,,,,,
2025-01-20,DanGambleAIEdge,Keyonte George,NBA,3,Rebounds,Over ,9.17,4,1,,,,,,,,,,,,,,,,,,,,
2025-01-20,DanGambleAIEdge,Nikola Vucevic,NBA,2,Assists,Over ,8.86,4,1,,,,,,,,,,,,,,,,,,,,
2025-01-20,DanGambleAIEdge,Walker Kessler,NBA,10,Rebounds,Over ,8.66,12,1,,,,,,,,,,,,,,,,,,,,
2025-01-20,DanGambleAIEdge,Josh Hart,NBA,10,Points,Over ,8.34,14,1,,,,,,,,,,,,,,,,,,,,
2025-01-20,DanGambleAIEdge,Jalen Johnson,NBA,15,Points,Over ,8.28,11,0,,,,,,,,,,,,,,,,,,,,
2025-01-20,DanGambleAIEdge,Jayson Tatum,NBA,20,Points,Over ,7.83,22,1,,,,,,,,,,,,,,,,,,,,
2025-01-20,DanGambleAIEdge,De'Andre Hunter,NBA,15,Points,Over ,7.71,17,1,,,,,,,,,,,,,,,,,,,,
2025-01-20,DanGambleAIEdge,Norman Powell,NBA,20,Points,Over ,7.69,27,1,,,,,,,,,,,,,,,,,,,,
2025-01-20,DanGambleAIEdge,Jaden McDaniels,NBA,10,Points,Over ,7.48,8,0,,,,,,,,,,,,,,,,,,,,
2025-01-22,DanGambleAIEdge,Tobias Harris,NBA,2,Assists,Over ,9.43,1,0,,,,,,,,,,,,,,,,,,,,
2025-01-22,DanGambleAIEdge,Jalen Williams,NBA,5,Assists,Over ,9.03,5,1,,,,,,,,,,,,,,,,,,,,
2025-01-22,DanGambleAIEdge,Miles Bridges,NBA,15,Points,Over ,8.91,17,1,,,,,,,,,,,,,,,,,,,,
2025-01-22,DanGambleAIEdge,Shai Gilgeous-Alexander,NBA,6,Assists,Over ,8.59,5,0,,,,,,,,,,,,,,,,,,,,
2025-01-22,DanGambleAIEdge,Tim Hardaway Jr.,NBA,10,Points,Over ,8.47,3,0,,,,,,,,,,,,,,,,,,,,
2025-01-22,DanGambleAIEdge,Ausar Thompson,NBA,4,Rebounds,Over ,7.99,1,0,,,,,,,,,,,,,,,,,,,,
2025-01-22,DanGambleAIEdge,Julius Randle,NBA,15,Points,Over ,7.78,16,1,,,,,,,,,,,,,,,,,,,,
2025-01-22,DanGambleAIEdge,Kevin Durant,NBA,6,Rebounds,Over ,7.54,6,1,,,,,,,,,,,,,,,,,,,,
2025-01-22,DanGambleAIEdge,John Collins,NBA,5,Rebounds,Over ,7.49,12,1,,,,,,,,,,,,,,,,,,,,
2025-01-22,DanGambleAIEdge,Kevin Durant,NBA,25,Points,Over ,6.76,24,0,,,,,,,,,,,,,,,,,,,,
2025-01-29,DanGambleAIEdge,Ivica Zubac,NBA,10,Points,Over ,9.39,21,1,,,,,,,,,,,,,,,,,,,,
2025-01-29,DanGambleAIEdge,Miles Bridges,NBA,3,Assists,Over ,9.02,1,0,,,,,,,,,,,,,,,,,,,,
2025-01-29,DanGambleAIEdge,Kristaps Porzingis,NBA,15,Points,Over ,8.89,34,1,,,,,,,,,,,,,,,,,,,,
2025-01-29,DanGambleAIEdge,Christian Braun,NBA,10,Points,Over ,8.51,9,0,,,,,,,,,,,,,,,,,,,,
2025-01-29,DanGambleAIEdge,Jakob Poeltl,NBA,8,Rebounds,Over ,8.42,8,1,,,,,,,,,,,,,,,,,,,,
2025-01-29,DanGambleAIEdge,Zion Williamson,NBA,20,Points,Over ,8.29,24.6,1,,,,,,,,,,,,,,,,,,,,
2025-01-29,DanGambleAIEdge,Nikola Jovic,NBA,4,Rebounds,Over ,8.22,3,0,,,,,,,,,,,,,,,,,,,,
2025-01-29,DanGambleAIEdge,Derrick White,NBA,3,Rebounds,Over ,8.04,1,0,,,,,,,,,,,,,,,,,,,,
2025-01-29,DanGambleAIEdge,Isaiah Hartenstein,NBA,10,Rebounds,Over ,7.11,18,1,,,,,,,,,,,,,,,,,,,,
2025-01-30,DanGambleAIEdge,Franz Wagner,NBA,5,Assists,Over ,8.65,2,0,,,,,,,,,,,,,,,,,,,,
2025-01-30,DanGambleAIEdge,Max Strus,NBA,3,Rebounds,Over ,8.46,2,0,,,,,,,,,,,,,,,,,,,,
2025-01-30,DanGambleAIEdge,Jalen Green,NBA,3,Assists,Over ,8.08,5,1,,,,,,,,,,,,,,,,,,,,
2025-01-30,DanGambleAIEdge,Amen Thompson,NBA,15,Points,Over ,8.06,21,1,,,,,,,,,,,,,,,,,,,,
2025-01-30,DanGambleAIEdge,Rui Hachimura,NBA,3,Rebounds,Over ,7.88,6,1,,,,,,,,,,,,,,,,,,,,
2025-01-30,DanGambleAIEdge,Rudy Gobert,NBA,10,Points,Over ,7.62,16,1,,,,,,,,,,,,,,,,,,,,
2025-01-30,DanGambleAIEdge,Paolo Banchero,NBA,7,Rebounds,Over ,7.5,5,0,,,,,,,,,,,,,,,,,,,,
2025-01-30,DanGambleAIEdge,Desmond Bane,NBA,15,Points,Over ,7.31,24,1,,,,,,,,,,,,,,,,,,,,
2025-02-03,DanGambleAIEdge,Wendell Carter Jr.,NBA,5,Rebounds,Over ,9.23,0,1,,,,,,,,,,,,,,,,,,,,
2025-02-03,DanGambleAIEdge,Trey Murphy III,NBA,3,Assists,Over ,8.85,0,1,,,,,,,,,,,,,,,,,,,,
2025-02-03,DanGambleAIEdge,Deni Avdija,NBA,3,Assists,Over ,8.65,0,1,,,,,,,,,,,,,,,,,,,,
2025-02-03,DanGambleAIEdge,John Collins,NBA,15,Points,Over ,8.46,0,1,,,,,,,,,,,,,,,,,,,,
2025-02-03,DanGambleAIEdge,Tyrese Haliburton,NBA,7,Assists,Over ,8.27,0,0,,,,,,,,,,,,,,,,,,,,
2025-02-03,DanGambleAIEdge,Malik Beasley,NBA,15,Points,Over ,8.08,0,1,,,,,,,,,,,,,,,,,,,,
2025-02-03,DanGambleAIEdge,Gilgeous-Alexander,NBA,30,Points,Over ,7.88,0,1,,,,,,,,,,,,,,,,,,,,
